sku_site,site_name,tipo_match,current_image_url,new_image_url,catalog_files,catalog_source_labels,observacao
AL-8816-TY,Fone de Ouvido AL-8816-TY,exato,produto_p12_img5.jpg,/imported-product-images-clean/AL-8816-TY.png,AL-8816-TY.png,AL-8816-TY,SKU identico no catalogo e no site.
AL-8817-5G,Fone de Ouvido AL-8817-5G,exato,produto_p12_img6.jpg,/imported-product-images-clean/AL-8817-5G.png,AL-8817-5G.png,AL-8817-5G,SKU identico no catalogo e no site.
AL-B5207,Lanterna LED AL-B5207,exato,produto_p5_img3.jpg,/imported-product-images-clean/AL-B5207.png,AL-B5207.png,AL-B5207,SKU identico no catalogo e no site.
AL-B7760,Isqueiro Elétrico AL-B7760,exato,produto_p5_img5.jpg,/imported-product-images-clean/AL-B7760.png,AL-B7760.png,AL-B7760,SKU identico no catalogo e no site.
AL-B9001,Lanterna Tática X900 AL-B9001,exato,produto_p5_img2.jpg,/imported-product-images-clean/AL-B9001.png,AL-B9001.png,AL-B9001,SKU identico no catalogo e no site.
AL-BB20,Display Digital AL-BB20,exato,produto_p4_img3.jpg,/imported-product-images-clean/AL-BB20.png,AL-BB20.png,AL-BB20,SKU identico no catalogo e no site.
AL-E13,Fone de Ouvido P2 AL-E13,exato,produto_p14_img1.jpg,/imported-product-images-clean/AL-E13.png,AL-E13.png,AL-E13,SKU identico no catalogo e no site.
AL-E16,Fone de Ouvido P2 AL-E16,exato,produto_p14_img2.jpg,/imported-product-images-clean/AL-E16.png,AL-E16.png,AL-E16,SKU identico no catalogo e no site.
AL-E17,Fone de Ouvido P2 AL-E17,exato,produto_p14_img3.jpg,/imported-product-images-clean/AL-E17.png,AL-E17.png,AL-E17,SKU identico no catalogo e no site.
AL-L50,Lanterna AL-L50,exato,produto_p5_img4.jpg,/imported-product-images-clean/AL-L50-灯.png,AL-L50-灯.png,AL-L50-灯,SKU identico no catalogo e no site.
AL-P9,Headset AL-P9,exato,produto_p3_img2.jpg,/imported-product-images-clean/AL-P9.png,AL-P9.png,AL-P9,SKU identico no catalogo e no site.
AL-T2,Fone de Ouvido P2 AL-T2,exato,produto_p13_img9.jpg,/imported-product-images-clean/AL-T2.png,AL-T2.png,AL-T2,SKU identico no catalogo e no site.
AL-T3,Fone de Ouvido P2 AL-T3,exato,produto_p13_img10.jpg,/imported-product-images-clean/AL-T3.png,AL-T3.png,AL-T3,SKU identico no catalogo e no site.
AL-X7,Fone de Ouvido Silicone AL-X7,exato,produto_p13_img3.jpg,/imported-product-images-clean/AL-X7.png,AL-X7.png,AL-X7,SKU identico no catalogo e no site.
AL-ZP33,Suporte para Celular AL-ZP33,exato,produto_p5_img8.jpg,/imported-product-images-clean/AL-ZP33.png,AL-ZP33.png,AL-ZP33,SKU identico no catalogo e no site.
C-231,Suporte para TV 32-55 C-231,exato,produto_p5_img6.jpg,/imported-product-images-clean/C-231.png,C-231.png,C-231,SKU identico no catalogo e no site.
C-233,Suporte para TV 14-42 C-233,exato,produto_p5_img7.jpg,/imported-product-images-clean/C-233.png,C-233.png,C-233,SKU identico no catalogo e no site.
F-070,Fone de Ouvido P2 F-070,exato,produto_p14_img6.jpg,/imported-product-images-clean/F-070.png,F-070.png,F-070,SKU identico no catalogo e no site.
G9S,Fone de Ouvido G9S,exato,produto_p17_img9.jpg,/imported-product-images-clean/G9S.png,G9S.png,G9S,SKU identico no catalogo e no site.
I11,Fone de Ouvido i11,exato,produto_p15_img2.jpg,/imported-product-images-clean/i11.png,i11.png,i11,SKU identico no catalogo e no site.
I12,Fone de Ouvido i12,exato,produto_p15_img1.jpg,/imported-product-images-clean/i12(马卡龙).png,i12(马卡龙).png,i12(马卡龙),SKU identico no catalogo e no site.
I7MINI,Fone de Ouvido i7mini,exato,produto_p15_img4.jpg,/imported-product-images-clean/i7mini.png,i7mini.png,i7mini,SKU identico no catalogo e no site.
I7S,Fone de Ouvido i7s,exato,produto_p15_img8.jpg,/imported-product-images-clean/i7s(马卡龙黑色).png,i7s(马卡龙黑色).png,i7s(马卡龙黑色）,SKU identico no catalogo e no site.
I9S,Fone de Ouvido i9s,exato,produto_p15_img3.jpg,/imported-product-images-clean/i9s.png,i9s.png,i9s,SKU identico no catalogo e no site.
J-60-A,Fone de Ouvido J-60 A,exato,produto_p18_img9.jpg,/imported-product-images-clean/J-60_A款.png,J-60_A款.png,J-60 A款,SKU identico no catalogo e no site.
J-60-AIR31,Fone de Ouvido J-60 AIR31,exato,produto_p18_img7.jpg,/imported-product-images-clean/J-60(AIR31).png,J-60(AIR31).png,J-60(AIR31),SKU identico no catalogo e no site.
J-60-AIR39,Fone de Ouvido J-60 AIR39,normalizado,produto_p18_img8.jpg,/imported-product-images-clean/J-60(AIR_39款).png,J-60(AIR_39款).png,J-60(AIR 39款）,Correspondencia deterministica por alias seguro.
J-60-D,Fone de Ouvido J-60 D,exato,produto_p18_img10.jpg,/imported-product-images-clean/J-60_D款.png,J-60_D款.png,J-60 D款,SKU identico no catalogo e no site.
J-60-G,Fone de Ouvido J-60 G,exato,produto_p16_img8.jpg,/imported-product-images-clean/J-60_G款.png,J-60_G款.png,J-60 G款,SKU identico no catalogo e no site.
J-60-L,Fone de Ouvido J-60 L,exato,produto_p19_img1.jpg,/imported-product-images-clean/J-60_L款.png,J-60_L款.png,J-60 L款,SKU identico no catalogo e no site.
J-60-P,Fone de Ouvido J-60 P,exato,produto_p17_img2.jpg,/imported-product-images-clean/J-60_P款.png,J-60_P款.png,J-60 P款,SKU identico no catalogo e no site.
J-60-R,Fone de Ouvido Touch J-60 R,exato,produto_p19_img2.jpg,/imported-product-images-clean/J-60_R款.png,J-60_R款.png,J-60 R款,SKU identico no catalogo e no site.
J-60-U,Fone de Ouvido Gamer J-60 U,exato,produto_p2_img5.jpg,/imported-product-images-clean/J-60_U款.png,J-60_U款.png,J-60 U款,SKU identico no catalogo e no site.
J-60-Y,Fone de Ouvido J-60 Y com Powerbank,exato,produto_p17_img3.jpg,/imported-product-images-clean/J-60_Y款.png,J-60_Y款.png,J-60 Y款,SKU identico no catalogo e no site.
J-70-PRO-B,Fone de Ouvido Esportivo J-70 PRO B,exato,produto_p2_img9.jpg,/imported-product-images-clean/J-70_PRO_B款.png,J-70_PRO_B款.png,J-70 PRO B款,SKU identico no catalogo e no site.
J-80-PRO,Fone de Ouvido Bluetooth J-80 PRO,exato,produto_p19_img4.jpg,/imported-product-images-clean/J-80_PRO.png,J-80_PRO.png,J-80 PRO,SKU identico no catalogo e no site.
J-85-PRO,Fone de Ouvido Bluetooth J-85 PRO,exato,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1775399393051-v5mleu.png,/imported-product-images-clean/J-85_PRO.png,J-85_PRO.png,J-85 PRO,SKU identico no catalogo e no site.
J-88-PRO,Fone de Ouvido Gamer J-88 PRO,exato,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1775399325991-pt6m7t.png,/imported-product-images-clean/J-88_PRO.png,J-88_PRO.png,J-88 PRO,SKU identico no catalogo e no site.
J-99-PRO,Fone de Ouvido Bluetooth J-99 PRO,exato,produto_p3_img1.jpg,/imported-product-images-clean/J-99_PRO.png,J-99_PRO.png,J-99 PRO,SKU identico no catalogo e no site.
J930,Fone de Ouvido J930,exato,produto_p16_img3.jpg,/imported-product-images-clean/J930.png,J930.png,J930,SKU identico no catalogo e no site.
J940,Fone de Ouvido J940,exato,produto_p16_img6.jpg,/imported-product-images-clean/J940.png,J940.png,J940,SKU identico no catalogo e no site.
JD-107,Rádio Bluetooth JD-107,exato,produto_p10_img2.jpg,/imported-product-images-clean/JD-107.png,JD-107.png,JD-107,SKU identico no catalogo e no site.
JD-108,Rádio Clássico JD-108,exato,produto_p10_img3.jpg,/imported-product-images-clean/JD-108.png,JD-108.png,JD-108,SKU identico no catalogo e no site.
JD-30,Rádio Bluetooth JD-30,exato,produto_p11_img9.jpg,/imported-product-images-clean/JD-30.png,JD-30.png,JD-30,SKU identico no catalogo e no site.
JD-31,Rádio Bluetooth JD-31,exato,produto_p11_img10.jpg,/imported-product-images-clean/JD-31.png,JD-31.png,JD-31,SKU identico no catalogo e no site.
JD-32,Rádio Bluetooth JD-32,exato,produto_p12_img1.jpg,/imported-product-images-clean/JD-32.png,JD-32.png,JD-32,SKU identico no catalogo e no site.
JD-35,Rádio Bluetooth JD-35,exato,produto_p12_img2.jpg,/imported-product-images-clean/JD-35.png,JD-35.png,JD-35,SKU identico no catalogo e no site.
K98,Fone de Ouvido K98 com Powerbank,exato,produto_p17_img4.jpg,/imported-product-images-clean/K98.png,K98.png,K98,SKU identico no catalogo e no site.
LYF-01,Garrafa Térmica LYF-01,exato,produto_p7_img3.jpg,/imported-product-images-clean/LYF-01.png,LYF-01.png,LYF-01,SKU identico no catalogo e no site.
LYF-02,Garrafa Térmica 1250ml LYF-02,exato,produto_p7_img4.jpg,/imported-product-images-clean/LYF-02.png,LYF-02.png,LYF-02,SKU identico no catalogo e no site.
LYF-03,Garrafa Térmica LYF-03,exato,produto_p7_img5.jpg,/imported-product-images-clean/LYF-03.png,LYF-03.png,LYF-03,SKU identico no catalogo e no site.
LYF-05,Garrafa Térmica LYF-05,exato,produto_p7_img6.jpg,/imported-product-images-clean/LYF-05.png,LYF-05.png,LYF-05,SKU identico no catalogo e no site.
LYF-10,Garrafa Térmica 1250ml LYF-10,exato,produto_p7_img7.jpg,/imported-product-images-clean/LYF-10.png,LYF-10.png,LYF-10,SKU identico no catalogo e no site.
LYF-14,Garrafa Térmica 1000ml LYF-14,exato,produto_p7_img8.jpg,/imported-product-images-clean/LYF-14.png,LYF-14.png,LYF-14,SKU identico no catalogo e no site.
LYF-15,Garrafa Térmica 1250ml LYF-15,exato,produto_p7_img9.jpg,/imported-product-images-clean/LYF-15.png,LYF-15.png,LYF-15,SKU identico no catalogo e no site.
LYF-20,Garrafa Térmica 1200ml LYF-20,exato,produto_p8_img1.jpg,/imported-product-images-clean/LYF-20.png,LYF-20.png,LYF-20,SKU identico no catalogo e no site.
M-303,Microfone M-303,exato,produto_p4_img4.jpg,/imported-product-images-clean/M-303.png,M-303.png,M-303,SKU identico no catalogo e no site.
RS13,Fone de Ouvido RS13,exato,produto_p17_img6.jpg,/imported-product-images-clean/RS13.png,RS13.png,RS13,SKU identico no catalogo e no site.
RS15,Fone de Ouvido RS15,exato,produto_p17_img7.jpg,/imported-product-images-clean/RS15.png,RS15.png,RS15,SKU identico no catalogo e no site.
S20,Fone de Ouvido S20,exato,produto_p14_img9.jpg,/imported-product-images-clean/S20.png,S20.png,S20,SKU identico no catalogo e no site.
S6,Fone de Ouvido Bluetooth S6,exato,produto_p13_img2.jpg,/imported-product-images-clean/S6蓝牙耳机.png,S6蓝牙耳机.png,S6蓝牙耳机,SKU identico no catalogo e no site.
U60,Fone de Ouvido U60,exato,produto_p16_img4.jpg,/imported-product-images-clean/U60.png,U60.png,U60,SKU identico no catalogo e no site.
